Country_Name,Country_Code,GNI_per_capita
Aruba,ABW,
Afghanistan,AFG,570
Angola,AGO,3450
Albania,ALB,4180
Andorra,AND,
Arab World,ARB,6584
United Arab Emirates,ARE,40480
Argentina,ARG,11970
Armenia,ARM,3770
American Samoa,ASM,
Antigua and Barbuda,ATG,13560
Australia,AUS,54420
Austria,AUT,45790
Azerbaijan,AZE,4760
Burundi,BDI,280
Belgium,BEL,41820
Benin,BEN,820
Burkina Faso,BFA,620
Bangladesh,BGD,1330
Bulgaria,BGR,7580
Bahrain,BHR,
"Bahamas, The",BHS,26490
Bosnia and Herzegovina,BIH,4940
Belarus,BLR,5590
Belize,BLZ,4360
Bermuda,BMU,
Bolivia,BOL,3070
Brazil,BRA,8840
Barbados,BRB,15210
Brunei Darussalam,BRN,32860
Bhutan,BTN,2510
Botswana,BWA,6750
Central African Republic,CAF,370
Canada,CAN,43660
Central Europe and the Baltics,CEB,12738
Switzerland,CHE,81240
Channel Islands,CHI,
Chile,CHL,13540
China,CHN,8250
Cote d'Ivoire,CIV,1520
Cameroon,CMR,1400
"Congo, Dem. Rep.",COD,430
"Congo, Rep.",COG,1710
Colombia,COL,6310
Comoros,COM,770
Cabo Verde,CPV,2970
Costa Rica,CRI,10840
Caribbean small states,CSS,8966
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,23680
Czech Republic,CZE,17540
Germany,DEU,43850
Djibouti,DJI,
Dominica,DMA,7110
Denmark,DNK,56990
Dominican Republic,DOM,6390
Algeria,DZA,4220
East Asia & Pacific (excluding high income),EAP,6673
Early-demographic dividend,EAR,3289
East Asia & Pacific,EAS,9858
Europe & Central Asia (excluding high income),ECA,7694
Europe & Central Asia,ECS,23136
Ecuador,ECU,5800
"Egypt, Arab Rep.",EGY,3410
Euro area,EMU,36072
Eritrea,ERI,
Spain,ESP,27600
Estonia,EST,17750
Ethiopia,ETH,660
European Union,EUU,33282
Fragile and conflict affected situations,FCS,1525
Finland,FIN,45050
Fiji,FJI,4780
France,FRA,38720
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3550
Gabon,GAB,7210
United Kingdom,GBR,42330
Georgia,GEO,3830
Ghana,GHA,1380
Gibraltar,GIB,
Guinea,GIN,670
"Gambia, The",GMB,430
Guinea-Bissau,GNB,600
Equatorial Guinea,GNQ,7180
Greece,GRC,19090
Grenada,GRD,9100
Greenland,GRL,
Guatemala,GTM,3790
Guam,GUM,
Guyana,GUY,4240
High income,HIC,41208
"Hong Kong SAR, China",HKG,43240
Honduras,HND,2150
Heavily indebted poor countries (HIPC),HPC,855
Croatia,HRV,12140
Haiti,HTI,780
Hungary,HUN,12570
IBRD only,IBD,5623
IDA & IBRD total,IBT,4538
IDA total,IDA,1304
IDA blend,IDB,1893
Indonesia,IDN,3400
IDA only,IDX,1002
Isle of Man,IMN,
India,IND,1670
Not classified,INX,
Ireland,IRL,51760
"Iran, Islamic Rep.",IRN,5470
Iraq,IRQ,5420
Iceland,ISL,56990
Israel,ISR,36240
Italy,ITA,31730
Jamaica,JAM,4630
Jordan,JOR,3920
Japan,JPN,37930
Kazakhstan,KAZ,8810
Kenya,KEN,1380
Kyrgyz Republic,KGZ,1100
Cambodia,KHM,1140
